Ticker,CompanyName,Sector,Industry,Price,PER,ForwardPE,PBR,ROE,MarketCap_B_USD,Sector_Avg_PER
4151,KYOWA KIRIN CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,2735.5,21.367754,19.716736,1.604047,0.08457,1431.99830016,22.01
4502,TAKEDA PHARMACEUTICAL CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,5517.0,,39.297672,1.1731648,-0.02118,8716.166365184,22.01
4503,ASTELLAS PHARMA,Healthcare,Drug Manufacturers - General,2208.0,13.60779,29.140821,2.1626682,0.17438,3955.614810112,22.01
4506,SUMITOMO PHARMA CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,1553.0,5.773663,90.65967,2.1096044,0.46266997,696.665571328,22.01
4507,SHIONOGI & CO,Healthcare,Drug Manufacturers - Specialty & Generic,2923.0,12.121087,15.287657,1.4760144,0.13508001,2487.401054208,22.01
4519,CHUGAI PHARMACEUTICAL CO,Healthcare,Drug Manufacturers - General,7541.0,28.570887,31.96558,6.5055337,0.23707001,12410.69912064,22.01
4523,EISAI CO LTD,Healthcare,Drug Manufacturers - Specialty & Generic,4340.0,31.74603,21.424692,1.3608633,0.045250002,1224.904278016,22.01
4568,DAIICHI SANKYO COMPANY LIMITED,Healthcare,Drug Manufacturers - General,2758.0,19.646673,19.21148,3.0156643,0.15809,5018.603749376,22.01
4578,OTSUKA HLDGS CO LTD,Healthcare,Drug Manufacturers - General,11680.0,17.035675,22.497015,1.9815925,0.12943,6145.062207488,22.01
285A,KIOXIA HOLDINGS CORPORATION,Technology,Semiconductors,81590.0,80.644844,,31.849483,0.519,44649.515319296,51.45
4062,IBIDEN CO LTD,Technology,Electronic Components,21390.0,100.0,69.23226,10.858689,0.12167,5973.062189056,51.45
6479,MINEBEA MITSUMI INC,Technology,Electronic Components,4500.0,18.248175,20.950697,2.0102756,0.11915,1807.179841536,51.45
6501,HITACHI,Industrials,Conglomerates,4805.0,27.174526,26.97468,3.320675,0.13299,21607.095468032,29.49
6503,MITSUBISHI ELECTRIC CORP,Industrials,Electrical Equipment & Parts,6043.0,30.487865,36.593193,2.7577777,0.09964,12366.61174272,29.49
6504,FUJI ELECTRIC CO. LTD.,Industrials,Electrical Equipment & Parts,13480.0,20.27647,22.192223,2.4831343,0.1289,1967.971106816,29.49
6506,YASKAWA ELECTRIC CORP,Industrials,Electrical Equipment & Parts,7449.0,55.026966,36.356094,3.9955823,0.0784,1932.031819776,29.49
6526,SOCIONEXT INC,Industrials,Electrical Equipment & Parts,2700.0,54.64481,18.896976,3.5568154,0.06466,473.28067584,29.49
6645,OMRON CORP,Technology,Electronic Components,6174.0,35.587063,22.776403,1.452341,0.03822,1213.989912576,51.45
6701,NEC CORP,Technology,Information Technology Services,4347.0,21.413794,6.046233,2.6248178,0.12557,5765.617680384,51.45
6702,FUJITSU,Technology,Information Technology Services,3349.0,19.179886,22.076468,2.8691444,0.15623,5809.770594304,51.45
6723,RENESAS ELECTRONICS CORP,Technology,Semiconductors,4710.0,,17.556948,3.3632863,-0.00389,8545.328693248,51.45
6724,SEIKO EPSON CORP,Technology,Computer Hardware,2878.0,50.758377,14.250346,1.080478,0.021949999,922.191069184,51.45
6752,PANASONIC HOLDINGS CORP,Technology,Consumer Electronics,4557.0,56.18296,26.988451,2.0415826,0.040749997,10639.89018624,51.45
6753,SHARP CORP,Technology,Consumer Electronics,640.5,8.764368,11.771733,1.4755447,0.20856,415.880937472,51.45
6758,SONY GROUP CORPORATION,Technology,Consumer Electronics,3422.0,19.960335,18.679039,2.4899623,0.12336001,20155.123892224,51.45
6762,TDK CORP,Technology,Electronic Components,3501.0,34.01341,32.756363,3.0382843,0.09922,6645.437431808,51.45
6770,ALPS ALPINE CO LTD,Technology,Electronic Components,2098.5,15.568664,19.610317,0.91490006,0.06311,409.447989248,51.45
6841,YOKOGAWA ELECTRIC CORP,Industrials,Specialty Industrial Machinery,5854.0,25.707008,27.091818,2.8664393,0.12125,1477.977178112,29.49
6857,ADVANTEST CORP,Technology,Semiconductor Equipment & Materials,29565.0,57.244373,124.36378,26.956354,0.57646,21429.116469248,51.45
6861,KEYENCE CORP,Technology,Scientific & Technical Instruments,80910.0,44.05279,43.327854,5.6525626,0.13531,19622.709428224,51.45
6902,DENSO CORP,Consumer Cyclical,Auto Parts,1992.0,7.723026,10.330878,0.97626954,0.08941,5362.549784576,23.77
6920,LASERTEC CORP,Technology,Semiconductor Equipment & Materials,47040.0,48.780487,43.070217,18.69823,0.4408,4216.226840576,51.45
6954,FANUC CORPORATION,Industrials,Specialty Industrial Machinery,7477.0,41.841076,43.19219,3.7413998,0.09352,6977.225228288,29.49
6963,ROHM CO LTD,Technology,Semiconductors,5782.0,,66.54391,2.944803,-0.19219999,2232.054710272,51.45
6971,KYOCERA CORP,Industrials,Conglomerates,3874.0,37.758286,43.284916,1.5282937,0.04384,5103.630155776,29.49
6976,TAIYO YUDEN CO LTD,Technology,Electronic Components,18385.0,172.41866,98.16328,6.6753035,0.04462,2300.825829376,51.45
6981,MURATA MANUFACTURING CO,Technology,Electronic Components,10250.0,79.99687,43.19973,6.862729,0.08826,18657.979662336,51.45
7735,SCREEN HOLDINGS CO LTD,Technology,Semiconductor Equipment & Materials,17860.0,36.76486,20.418428,6.9406853,0.20278999,3377.108615168,51.45
7751,CANON INC,Technology,Computer Hardware,4338.0,11.813404,11.967227,1.0975335,0.09372,3705.812287488,51.45
7752,RICOH CO,Industrials,Business Equipment & Supplies,1468.0,15.042525,12.713259,0.7227767,0.05094,833.169719296,29.49
8035,TOKYO ELECTRON,Technology,Semiconductor Equipment & Materials,72320.0,57.803284,56.491177,15.891219,0.2927,32895.114674176,51.45
543A,ARCHION CORPORATION,Industrials,Farm & Heavy Construction Machinery,296.0,2.034644,,0.65706235,0.22992,815.948496896,29.49
7201,NISSAN MOTOR CO,Consumer Cyclical,Auto Manufacturers,319.1,,-21.751875,0.23248596,-0.09856,1115.695611904,23.77
7202,ISUZU MOTORS,Consumer Cyclical,Auto Manufacturers,2390.5,12.386652,9.395143,1.1103958,0.10908,1642.840326144,23.77
7203,TOYOTA MOTOR CORP,Consumer Cyclical,Auto Manufacturers,2923.0,9.901091,9.015483,0.95435053,0.10233,34611.396608,23.77
7211,MITSUBISHI MOTOR CORP,Consumer Cyclical,Auto Manufacturers,343.2,45.882355,3.7606838,0.49955243,0.02185,459.32265472,23.77
7261,MAZDA MOTOR CORP,Consumer Cyclical,Auto Manufacturers,1165.5,20.966002,4.2520976,0.38573605,0.01924,735.17400064,23.77
7267,HONDA MOTOR CO,Consumer Cyclical,Auto Manufacturers,1599.0,,7.0088544,0.52669597,-0.028499998,6224.235986944,23.77
7269,SUZUKI MOTOR CORP,Consumer Cyclical,Auto Manufacturers,2144.5,9.416026,12.167376,1.2233076,0.13873,4137.327788032,23.77
7270,SUBARU CORPORATION,Consumer Cyclical,Auto Manufacturers,2589.5,20.630178,5.801111,0.6663059,0.033069998,1852.601008128,23.77
7272,YAMAHA MOTOR CO,Consumer Cyclical,Auto Manufacturers,1274.0,7.9367056,6.7318363,1.0631135,0.03845,1236.261666816,23.77
